iter	Accuracy	Logloss
165	0.8144557749	0.4580991869
166	0.8144557749	0.4580991869
167	0.8144557749	0.4580991869
168	0.8144557749	0.4580991869
169	0.8144557749	0.4580991869
170	0.8144557749	0.4580991869
171	0.8144557749	0.4580991869
172	0.8144557749	0.4580991869
173	0.8144557749	0.4580991869
174	0.8144557749	0.4580991869
175	0.8144557749	0.4580991869
176	0.8144557749	0.4580991869
177	0.8144557749	0.4580991869
178	0.8144557749	0.4580991869
179	0.8144557749	0.4580991869
180	0.8144557749	0.4580991869
181	0.8144557749	0.4580991869
182	0.8144557749	0.4580991869
183	0.8144557749	0.4580991869
184	0.8144557749	0.4580991869
185	0.8144557749	0.4580991869
186	0.8144557749	0.4580991869
187	0.8144557749	0.4580991869
188	0.8144557749	0.4580991869
189	0.8144557749	0.4580991869
190	0.8144557749	0.4580991869
191	0.8144557749	0.4580991869
192	0.8144557749	0.4580991869
193	0.8144557749	0.4580991869
194	0.8144557749	0.4580991869
195	0.8144557749	0.4580991869
196	0.8144557749	0.4580991869
197	0.8144557749	0.4580991869
198	0.8144557749	0.4580991869
199	0.8144557749	0.4580991869
200	0.8144557749	0.4580991869
201	0.8144557749	0.4580991869
202	0.8144557749	0.4580991869
203	0.8144557749	0.4580991869
204	0.8144557749	0.4580991869
205	0.8144557749	0.4580991869
206	0.8144557749	0.4580991869
207	0.8144557749	0.4580991869
208	0.8144557749	0.4580991869
209	0.8144557749	0.4580991869
210	0.8144557749	0.4580991869
211	0.8144557749	0.4580991869
212	0.8144557749	0.4580991869
213	0.8144557749	0.4580991869
214	0.8144557749	0.4580991869
215	0.8144557749	0.4580991869
216	0.8144557749	0.4580991869
217	0.8144557749	0.4580991869
218	0.8144557749	0.4580991869
219	0.8144557749	0.4580991869
220	0.8144557749	0.4580991869
221	0.8144557749	0.4580991869
222	0.8144557749	0.4580991869
223	0.8144557749	0.4580991869
224	0.8144557749	0.4580991869
225	0.8144557749	0.4580991869
226	0.8144557749	0.4580991869
227	0.8144557749	0.4580991869
228	0.8144557749	0.4580991869
229	0.8144557749	0.4580991869
230	0.8144557749	0.4580991869
231	0.8144557749	0.4580991869
232	0.8144557749	0.4580991869
233	0.8144557749	0.4580991869
234	0.8144557749	0.4580991869
235	0.8144557749	0.4580991869
236	0.8144557749	0.4580991869
237	0.8144557749	0.4580991869
238	0.8144557749	0.4580991869
239	0.8144557749	0.4580991869
240	0.8144557749	0.4580991869
241	0.8144557749	0.4580991869
242	0.8144557749	0.4580991869
243	0.8144557749	0.4580991869
244	0.8144557749	0.4580991869
245	0.8144557749	0.4580991869
246	0.8144557749	0.4580991869
247	0.8144557749	0.4580991869
248	0.8144557749	0.4580991869
249	0.8144557749	0.4580991869
250	0.8144557749	0.4580991869
251	0.8144557749	0.4580991869
252	0.8144557749	0.4580991869
253	0.8144557749	0.4580991869
254	0.8144557749	0.4580991869
255	0.8144557749	0.4580991869
256	0.8144557749	0.4580991869
257	0.8144557749	0.4580991869
258	0.8144557749	0.4580991869
259	0.8144557749	0.4580991869
260	0.8144557749	0.4580991869
261	0.8144557749	0.4580991869
262	0.8144557749	0.4580991869
263	0.8144557749	0.4580991869
264	0.8144557749	0.4580991869
265	0.8144557749	0.4580991869
266	0.8144557749	0.4580991869
267	0.8144557749	0.4580991869
268	0.8144557749	0.4580991869
269	0.8144557749	0.4580991869
270	0.8144557749	0.4580991869
271	0.8144557749	0.4580991869
272	0.8144557749	0.4580991869
273	0.8144557749	0.4580991869
274	0.8144557749	0.4580991869
275	0.8144557749	0.4580991869
276	0.8144557749	0.4580991869
277	0.8144557749	0.4580991869
278	0.8144557749	0.4580991869
279	0.8144557749	0.4580991869
280	0.8144557749	0.4580991869
281	0.8144557749	0.4580991869
282	0.8144557749	0.4580991869
283	0.8144557749	0.4580991869
284	0.8144557749	0.4580991869
285	0.8144557749	0.4580991869
286	0.8144557749	0.4580991869
287	0.8144557749	0.4580991869
288	0.8144557749	0.4580991869
289	0.8144557749	0.4580991869
290	0.8144557749	0.4580991869
291	0.8144557749	0.4580991869
292	0.8144557749	0.4580991869
293	0.8144557749	0.4580991869
294	0.8144557749	0.4580991869
295	0.8144557749	0.4580991869
296	0.8144557749	0.4580991869
297	0.8144557749	0.4580991869
298	0.8144557749	0.4580991869
299	0.8144557749	0.4580991869
